id,name,spokenLanguage,signedLanguage,category,definition,paraphrase,example,url,videoDuration,exampleVideoDuration
112504,LIKÖR,de,dsgs,Nahrung,aromatisches alkoholisches Getränk mit relativ hohem Zuckergehalt und einem Alkoholgehalt von 15 bis 40 Prozent,süsses Getränk mit Alkohol,Die zwei Frauen trinken immer Kaffee und einen Likör dazu.,https://signsuisse.sgb-fss.ch/lexikon/112504/likoer,2.8,5.92
118993,CARAÏBES,fr,lsf-ch,Nation,"Région du globe regroupant l'ensemble des Antilles, une partie des terres bordant la mer des Antilles. correspondant au bassin versant de la mer des Caraïbes.","Immenses plages de sable fin, palmiers.","Chaque fois que je pense aux Caraïbes, je pense aux pirates d'autrefois.",https://signsuisse.sgb-fss.ch/fr/lexikon/118993/caraibes,3.334,8.6
114364,GOTT,de,dsgs,Religion,"Im Monotheismus (besonders im Christentum) höchstes übernatürliches Wesen, das als Schöpfer Ursache allen Geschehens in der Natur ist, das Schicksal der Menschen lenkt, Richter über ihr sittliches Verhalten und ihr Heilsbringer ist.","Allmächtiger Vater, höchstes gedachtes überirdisches Wesen",Der Pfarrer predigt über Gott.,https://signsuisse.sgb-fss.ch/lexikon/114364/gott,2.542,4.167
127490,SUSSIDIO,it,lis-ch,Wirtschaft,Contributo in denaro a fini assistenziali o per altri motivi.,"Aiuto, sostegno finanziario.",Alcuni appartamenti sono sussidiati.,https://signsuisse.sgb-fss.ch/it/lexikon/127490/sussidio,2.334,4.667
127892,GENUA,de,dsgs,Stadt,Genua ist die Hauptstadt der italienischen Region Ligurien.,"Hafenstadt in Norditalien, Stadt in Ligurien",Genua hat einen schönen Hafen mit guten Schiffsverbindungen.,https://signsuisse.sgb-fss.ch/lexikon/127892/genua,2.5,8.459
126285,SCHIMPANSE,de,dsgs,Tiere,Die Schimpansen sind eine Gattung aus der Familie der Menschenaffen (Hominidae).,beliebter mittelgrosser Affe,Frisch geborene junge Schimpansen sind süss.,https://signsuisse.sgb-fss.ch/lexikon/126285/schimpanse,3.042,4.966
120756,RONFLER,fr,lsf-ch,Verb,"Faire, en respirant pendant le sommeil, un bruit particulier du nez et de la gorge.",Respirer bruyamment.,Les personnes qui ronflent en dormant font un bruit à rompre les oreilles.,https://signsuisse.sgb-fss.ch/fr/lexikon/120756/ronfler,3.375,6.75
117716,KOSMETIK,de,dsgs,Allgemein,"Der Ausdruck Kosmetik bezeichnet die Körper- und Schönheitspflege, bzw. die Erhaltung, Wiederherstellung oder Verbesserung der Schönheit des menschlichen Körpers.",Schönheitspflege,Diese junge Frau kauft viel Kosmetik-Produkte.,https://signsuisse.sgb-fss.ch/lexikon/117716/kosmetik,2.084,5.417
128053,ATTENDRE,fr,lsf-ch,Verb,"Se tenir en un lieu où une personne doit venir, une chose arriver ou se produire et y rester jusqu'à cet événement.","Patienter, guetter, demeurer.","Le bus est parti, tant pis! j'attendrai le prochain.",https://signsuisse.sgb-fss.ch/fr/lexikon/128053/attendre,3.084,5.72
112770,ORDONNER,fr,lsf-ch,Verb,"Commander quelque chose (à quelqu'un), donner tel ordre.","Sommer, intimer l'ordre de.",Je vous ordonne de sortir.,https://signsuisse.sgb-fss.ch/fr/lexikon/112770/ordonner,2.84,4.08
114042,GARTEN,de,dsgs,Natur,"Ein Garten ist ein abgegrenztes Stück Land, in dem Pflanzen unter mehr oder minder intensiver Pflege mit Hilfe von Gartengeräten angebaut werden (Gartenwirtschaft/Gartenbau).",Platz für Blumen und Gemüse,Ich liebe den Garten.,https://signsuisse.sgb-fss.ch/lexikon/114042/garten,2.667,4.334
123154,MATURITÀ,it,lis-ch,Beruf/Schule,Diploma statale di scuola media superiore; l'esame per conseguirlo.,Esame che si sostiene alla fine degli studi superiori.,Lui ha ottenuto il diploma di maturità.,https://signsuisse.sgb-fss.ch/it/lexikon/123154/maturita,2.459,4.417
116840,GELB,de,dsgs,Eigenschaft,"Die Farbe Gelb symbolisiert das Sonnenlicht, die Erkenntnis und das Gedeihen des Lebendigen.","hell, fröhlich, warm",Das Mädchen malt die Sonne immer gelb.,https://signsuisse.sgb-fss.ch/lexikon/116840/gelb,3.125,5.667
130585,GAZON,fr,lsf-ch,",Natur",Herbe courte et très fine qui fait comme un tapis.,"Pelouse, nature, pré.",Le jardinier tond le gazon.,https://signsuisse.sgb-fss.ch/fr/lexikon/130585/gazon,2.96,5.68
126983,STEUEROASE,de,dsgs,Politik/Recht,"Als Steueroasen werden Staaten oder Gebiete bezeichnet, die keine oder besonders niedrige Steuern auf Einkommen oder Vermögen erheben und so für Kapital aus Ländern mit höheren Steuersätzen attraktiv sind.","Als Steueroase wird ein Land bezeichnet, in dem keine oder besonders niedrige Steuern auf Einkommen oder Vermögen erhoben werden.",Liechtenstein ist eine Steueroase.,https://signsuisse.sgb-fss.ch/lexikon/126983/steueroase,3.75,6.834
114135,VORLAGE,de,dsgs,Allgemein,"ein Hilfsmittel zur Erstellung ähnlicher Stücke; etwas, was bei der Anfertigung von etwas als Muster, Grundlage, Modell usw. dient",Dokument; Grundlage; Muster; wird benützt um etwas Aehnliches herzustellen,Dieser Mann benötigt eine Rechnungsvorlage für das Finanzamt.,https://signsuisse.sgb-fss.ch/lexikon/114135/vorlage,2.084,6.5
123579,SEGA,it,lis-ch,Beruf/Schule,"Attrezzo usato per tagliare legname o metalli, costituito da una lama di acciaio munita di denti, inserita in un telaio o in un manico;",Utensile per tagliare.,Mi serve una segna per tagliare l'albero.,https://signsuisse.sgb-fss.ch/it/lexikon/123579/sega,3.334,5.5
112342,OBWALD,fr,lsf-ch,Nation,Canton de Suisse.,"Canton, Suisse.",80 % des habitants du canton d'Obwald revendiquent l'appartenance au catholicisme.,https://signsuisse.sgb-fss.ch/fr/lexikon/112342/obwald,2.84,10.6
113451,HAI,de,dsgs,Tiere,grosser und gefährlicher Raubfisch mit dreieckiger Rückenflosse,"grosser, gefährlicher Fisch mit scharfen Zähnen",Der Hai hat sehr viele Zähne.,https://signsuisse.sgb-fss.ch/lexikon/113451/hai,2.48,5.68
127757,SCHLUCKEN,de,dsgs,Eigenschaft,sich nicht gegen etwas wehren können,muss akzeptieren,Die zwei Männer müssen dies akzeptieren vom Chef.,https://signsuisse.sgb-fss.ch/lexikon/127757/schlucken,2.834,5.792
119398,BIJOU,fr,lsf-ch,Haushalt,"Petit objet, souvent précieux, que l'on porte sur soi comme ornement.","Objet, décoratif, or, argent, pierre, corps.",J'ai de vieux bijoux de valeur.,https://signsuisse.sgb-fss.ch/fr/lexikon/119398/bijou,2.625,4.834
123861,SIRENE,de,dsgs,Allgemein,"ein Gerät, das einen Ton zur Alarmierung aussenden kann","Gerät, das lange, laute Töne erzeugt und vor einer bestimmten Gefahr warnt",Gestern Abend sind in meinem Dorf viele Feuerwehrautos mit Sirene vorbei gefahren.,https://signsuisse.sgb-fss.ch/lexikon/123861/sirene,2.24,7.32
129324,SCHULDEN,de,dsgs,Wirtschaft,"Die gesamten Verpflichtungen (Passiva) einer Person oder einer Firma, die dem vorhandenen Vermögen (Aktiva) gegenüber stehen.",Rückzahlungsverpflichtung gegenüber Dritten.,Diese Firma hat eine halbe Million Franken Schulden.,https://signsuisse.sgb-fss.ch/lexikon/129324/schulden,2.0,5.24
125315,GARAGISTE,fr,lsf-ch,Beruf/Schule,"Personne qui tient un garage pour l'entretien, la réparation et la vente des véhicules automobiles.",Mécanicien.,Le garagiste répare le phare de la voiture.,https://signsuisse.sgb-fss.ch/fr/lexikon/125315/garagiste,3.08,7.12
127461,ASSURANCE MATERNITÉ,fr,lsf-ch,Medizin,"Pour toutes les femmes travailleuses, allocation versée durant les 14 ou 16 semaines qui suivent l'accouchement.","Allocation, congé maternité.","Pendant son congé de maternité, cette femme reçoit des prestations de l'assurance maternité.",https://signsuisse.sgb-fss.ch/fr/lexikon/127461/assurance-maternite,3.64,10.04
116474,KARTE,de,dsgs,Sport/Freizeit,"eine Karte, mit dem Schieds- und Kampfrichter während eines Spiels den Spielern Strafen androhen (gelbe Karte), beziehungsweise deren Verhängung signalisieren (rote Karte)",vom Schiedsrichter verwendete Karte für Verwarnung oder Platzverweis,"Im Fussball stehen dem Schiedsrichter zwei Karten zur Verfügung, die Rote und die Gelbe.",https://signsuisse.sgb-fss.ch/lexikon/116474/karte,2.24,7.28
111803,PROGRAMM,de,dsgs,Allgemein,"Gesamtheit von (schriftlich) dargelegten Konzeptionen, von Grundsätzen, die zum Erreichen eines bestimmten Zieles angewendet werden sollen.","TV Programm oder Weiterbildung Programm, Programm ist „schriftliche Bekanntmachung&quot;",Ich suche gerade das Papier mit dem Programm.,https://signsuisse.sgb-fss.ch/lexikon/111803/programm,2.917,3.75
111831,EURO,de,dsgs,Wirtschaft,Der Euro ist die Währung der Europäischen Wirtschafts- und Währungsunion.,europäische Währung,"In der letzten Zeit verlor der Euro an Wert, jetzt ist dieser dank Massnahmen wieder gestiegen.",https://signsuisse.sgb-fss.ch/lexikon/111831/euro,2.625,7.875
118654,LIDL,fr,lsf-ch,Haus/Gebäude,Entreprise allemande de hard-discount fondée dans les années 1930.,"Magasin, alimentaire, petits prix.",Les magasins Lidl sont maintenant présents dans de très nombreux pays d'Europe.,https://signsuisse.sgb-fss.ch/fr/lexikon/118654/lidl,2.56,10.36
121992,ESTREMO,it,lis-ch,Allgemein,"ultimo, di luogo e tempo;",Che è qualcosa fino al limite.,PARTITI ESTREMO DESTRA,https://signsuisse.sgb-fss.ch/it/lexikon/121992/estremo,3.378378,4.045712
130407,ACIER,fr,lsf-ch,Natur,Métal dur obtenu par un alliage de fer et d'une petite quantité de carbone.,Fer.,Les cordes du piano sont en acier.,https://signsuisse.sgb-fss.ch/fr/lexikon/130407/acier,2.44,6.76
122347,AREZZO,it,lis-ch,Stadt,"città che si trova in Toscana, Italia;",Città italiana.,Domani c'è il bus per Arezzo.,https://signsuisse.sgb-fss.ch/it/lexikon/122347/arezzo,2.959,4.292
114565,HÖHLENARBEITER,de,dsgs,Beruf/Schule,"Beruf, Person die in Höhlen arbeitet",Person die in Höhlen arbeitet,Die Aufgaben des Höhlenarbeiters sind Grabungen vorzunehmen in der Höhle usw.,https://signsuisse.sgb-fss.ch/lexikon/114565/hoehlenarbeiter,3.52,8.16
126434,YU-GI-JOH,de,dsgs,Sport/Freizeit,"erstmals 1996 veröffentlichte Manga-Serie des japanischen Zeichners Kazuki Takahashi, die auch als Anime umgesetzt wurde und zu der etliche Merchandising-Produkte, darunter ein sehr erfolgreiches Sammelkartenspiel gehören",Name eines Kartenspiels,Yu-Gi-Joh ist ein Sammelkartenspiel.,https://signsuisse.sgb-fss.ch/lexikon/126434/yu-gi-joh,2.375,5.334
113617,GRAPPE,fr,lsf-ch,Nahrung,Ensemble de fleurs ou de fruits qui poussent sur une même tige.,"Amas, amoncellement, chapelet.",Les grappes de raisin poussent sur les vignes.,https://signsuisse.sgb-fss.ch/fr/lexikon/113617/grappe,2.84,8.12
118321,CÂLIN,fr,lsf-ch,Allgemein,"Acte affectueux, échange de caresses.",Caresse tendre.,Maman fait un câlin à mon petit frère.,https://signsuisse.sgb-fss.ch/fr/lexikon/118321/calin,3.12,6.8
114886,BEINAMPUTATION,de,dsgs,Medizin,ein Bein infolge einer Amputation verloren haben,"jemand, dem man ein Bein oder beide Beine amputiert hat","Dieses Mädchen hatte vor längerer Zeit eine Beinamputation, seitdem hat es starke Depressionen.",https://signsuisse.sgb-fss.ch/lexikon/114886/beinamputation,2.72,7.24
117326,TESTO,it,lis-ch,Beruf/Schule,Insieme delle parole che costituiscono uno scritto.,Impaginazione fatto di parole.,Nel testo viene spiegata la prevenzione per chi viaggia nel mondo.,https://signsuisse.sgb-fss.ch/it/lexikon/117326/testo,2.75,6.75
127600,CHIEN,fr,lsf-ch,Tiere,Mammifère carnivore doté d'un excellent odorat.,"Animal, poils, truffe, aboyer.",J'adore les chiens de mon père.,https://signsuisse.sgb-fss.ch/fr/lexikon/127600/chien,2.25,4.417
126358,DURCHFALL,de,dsgs,Medizin,schnelle und häufige Ausscheidung von dünnflüssigem Stuhl; Diarrhö,"eine Krankheit, bei der man flüssigen Stuhlgang ausscheidet",Jetzt haben meine Kinder starken Durchfall bekommen.,https://signsuisse.sgb-fss.ch/lexikon/126358/durchfall,2.72,4.32
120247,MAL AU COEUR,fr,lsf-ch,Allgemein,Emouvoir.,"Emotion, chagrin.",Cette situation affreuse me fait mal au coeur.,https://signsuisse.sgb-fss.ch/fr/lexikon/120247/mal-au-coeur,3.125,6.125
114749,SAINT LOUIS,de,dsgs,Stadt,St. Louis (ausgeschrieben Saint Louis) ist eine Stadt im US-Bundesstaat Missouri,Stadtname USA,St. Louis ist eine Stadt in Amerika.,https://signsuisse.sgb-fss.ch/lexikon/114749/saint-louis,2.48,4.72
124654,CRINIÈRE,fr,lsf-ch,Tiere,Ensemble des crins du cou du cheval ou du lion.,"Touffe, crin.",Le cheval secoue sa crinière.,https://signsuisse.sgb-fss.ch/fr/lexikon/124654/criniere,3.48,6.48
128439,STAN WAWRINKA,de,dsgs,Menschen,Stanislas &quot;Stan&quot; Wawrinka (* 28. März 1985 in Lausanne) ist ein Schweizer Tennisspieler.,"Schweizer Tennisspieler, Profi",2002 startete Stanislas Wawrinka seine Profi-Karriere im Tennis.,https://signsuisse.sgb-fss.ch/lexikon/128439/stan-wawrinka,2.459,6.042
128296,STÜRMER,de,dsgs,Sport/Freizeit,"Der Stürmer ist ein Offensivspieler, dessen Hauptaufgabe darin besteht, Tore zu schiessen.","Spieler, besonders beim Fussball, dessen Aufgabe es ist, Tore zu schiessen",Der Futsal-Spieler nimmt die Spielposition des Stürmers ein.,https://signsuisse.sgb-fss.ch/lexikon/128296/stuermer,2.542,6.375
115498,XHERDAN SHAQIRI,fr,lsf-ch,Sport/Freizeit,Footballeur international,le footballeur connu,Xherdan Shaqiri est un footballeur international de l'équipe suisse. Beaucoup de jeunes l'admirent.,https://signsuisse.sgb-fss.ch/fr/lexikon/115498/xherdan-shaqiri,2.4,13.56
124180,RÉVISER,fr,lsf-ch,Verb,Revoir ce qu'on a étudié.,"Repasser, reprendre.",Pendant les vacances de Pâques il faut que je révise beaucoup. .,https://signsuisse.sgb-fss.ch/fr/lexikon/124180/reviser,3.042,4.875
116201,SCHWEIGEN,de,dsgs,Verb,"Schweigen ist eine Form der nonverbalen Kommunikation, bei der nicht gesprochen wird und bei der auch keine Laute erzeugt werden.","für sich behalten, nicht verraten, nicht sprechen",Ein bekannter Spruch heisst: Schweigen ist Gold !,https://signsuisse.sgb-fss.ch/lexikon/116201/schweigen,2.084,5.292
116809,IMPRESSIONNANT,fr,lsf-ch,Allgemein,Qui produit une forte impression.,"Effrayant, spectaculaire, saisissant.","Quand on les voit de très près, les lions sont impressionnants.",https://signsuisse.sgb-fss.ch/fr/lexikon/116809/impressionnant,2.92,6.44
125162,TAVOLA ROTONDA,it,lis-ch,Beruf/Schule,Era il tavolo del castello di Camelot a cui i Cavalieri e Re Artù sedevano per discutere questioni di cruciale importanza per il reame.,Dibattito tra esperti riuniti per parlare di un problema.,Le mamme partecipano alla tavola rotonda per discutere in merito al tema della protezione dell'infanzia.,https://signsuisse.sgb-fss.ch/it/lexikon/125162/tavola-rotonda,2.959,7.25
118521,SOCIAL - SOCIALE 2,fr,lsf-ch,Politik/Recht,Qui a pour objectif l'amélioration des conditions de vie des défavorisés.,Aide.,"A Genève, il y a un service social pour sourds.",https://signsuisse.sgb-fss.ch/fr/lexikon/118521/social-sociale-2,2.667,5.667
119064,POLLEN,fr,lsf-ch,Natur,Poussière fécondante émanant des fleurs.,"Fleur, grains mâles.",Les pollens provoquent parfois des allergies chez les personnes sensibles.,https://signsuisse.sgb-fss.ch/fr/lexikon/119064/pollen,2.76,8.24
125706,RAUMSCHIFF,de,dsgs,Verkehr,"grosses Raumfahrzeug, das im Weltall Menschen und Güter transportieren kann; Flugkörper für bemannte Raumflüge","ein Fahrzeug, mit dem man durch den Weltraum fliegen kann","Der Bub träumt davon, einmal mit dem Raumschiff zum Mond zu fliegen.",https://signsuisse.sgb-fss.ch/lexikon/125706/raumschiff,2.76,6.72
130481,E-SPORTS,de,dsgs,Veranstaltung/Medien,bezeichnet den sportlichen Wettkampf zwischen Menschen mit Hilfe von Computerspielen,"die Tätigkeit, Computer- beziehungsweise Videospiele auf Wettkampfbasis auszutragen","Jugendliche sagen, dass E-Sport auch Sport ist.",https://signsuisse.sgb-fss.ch/lexikon/130481/e-sports,2.84,6.4
129284,KREDITOR,de,dsgs,Wirtschaft,"jemand, dem man Geld schuldet","Geldgeber, Gläubiger",Der Kreditor tätigt eine Lieferung an ein Unternehmen.,https://signsuisse.sgb-fss.ch/lexikon/129284/kreditor,2.12,5.36
125050,VERSTANDEN JETZT,de,dsgs,Verb,"den Sinngehalt, die Bedeutung von etwas, die Absicht einer Person verstandesmässig erfasst","ah, jetzts klar",Dem Mädchen war die Aufgabe lange nicht klar und sie hat sich geduldig Überlegungen angestellt. Jetzt hat sie es endlich verstanden und kann weiterfahren.,https://signsuisse.sgb-fss.ch/lexikon/125050/verstanden-jetzt,2.542,8.959
127934,SETTIMANA,it,lis-ch,Allgemein,"Periodo di sette giorni, dal lunedì alla domenica. Periodo di sette giorni consecutivi in cui si svolge una stessa attività.",Periodo che dura 7 giorni.,"Settimana prossima non posso venire, poichè ho troppi impegni.",https://signsuisse.sgb-fss.ch/it/lexikon/127934/settimana,2.334,6.25
118049,GUATEMALA,de,dsgs,Nation,"Guatemala ist ein Staat in Zentralamerika, im Süden der Halbinsel Yucatán. Die Hauptstadt ist Guatemala und als Amtssprache gilt spanisch.",Staat in Zentralamerika,In Guatemala habe ich bereits 2 Jahre an einem Hilfsprojekt mitgearbeitet.,https://signsuisse.sgb-fss.ch/lexikon/118049/guatemala,2.88,6.4
111546,DUODÉNUM,fr,lsf-ch,Medizin,Partie initiale de l'intestin grêle. Il fait suite à l'estomac. C'est la seule partie fixe de l'intestin.,Organe du corps.,Le duodénum à une longueur de 25 à 30 cm.,https://signsuisse.sgb-fss.ch/fr/lexikon/111546/duodenum,6.0,10.48
128047,ASSIETTE,fr,lsf-ch,Haushalt,"Pièce de vaisselle individuelle, souvent ronde, servant à contenir des aliments.","Vaisselle, contenant, aliment.","J'ai trop d'assiettes, que faire ?",https://signsuisse.sgb-fss.ch/fr/lexikon/128047/assiette,1.84,6.32
117622,SUPPORT,de,dsgs,Allgemein,"Hilfe, Unterstützung bei Hardware- und Softwareproblemen. Support ist eine problemorientierte Beratungstätigkeit. Die Tätigkeit lässt sich grob in die zwei Gebiete „Kundendienst“ und in „Technische Unterstützung“ einteilen.","Unterstützung, Hilfe","Wenn ich Probleme mit dem Computer habe, kann ich einen Support herbestellen.",https://signsuisse.sgb-fss.ch/lexikon/117622/support,2.334,5.084
128416,BILANCIA,it,lis-ch,Eigenschaft,"secondo l'astrologia occidentale, la Bilancia è un segno zodiacale cardinale e d'aria. È governato da Venere;",Nome del simbolo del segno zodiacale.,I miei parenti la maggior appartiene al segno zodiacale della bilancia.,https://signsuisse.sgb-fss.ch/it/lexikon/128416/bilancia,3.167,7.834
130426,PIXELLISATION,fr,lsf-ch,Veranstaltung/Medien,Effet produit lorsque les points qui composent une image deviennent apparents.,"pouce, Télévision.","Votre télévision a des problèmes de pixellisation, peut-être est-ce dû au décodeur qui n'est pas adapté.",https://signsuisse.sgb-fss.ch/fr/lexikon/130426/pixellisation,3.44,10.16
116770,SPRECHANLAGE,de,dsgs,Haus/Gebäude,Eine Sprechanlage ist ein Kommunikationsmittel zur Übermittlung von Sprache mittels elektrischer Signale.,"elektrisches Gerät, durch das man von innerhalb eines Gebäudes mit jemandem sprechen kann, der vor dem Eingang des Hauses steht",Im Tram gibt es eine Sprechanlage.,https://signsuisse.sgb-fss.ch/lexikon/116770/sprechanlage,2.417,4.792
130556,CRACHEUR DE FEU,fr,lsf-ch,",Beruf/Schule","C'est une personne qui, en prenant en bouche un peu de liquide inflammable le crache en le « vaporisant » en direction d'une torche.","Cracher, feu.","Au cirque, on voit souvent un cracheur de feu.",https://signsuisse.sgb-fss.ch/fr/lexikon/130556/cracheur-de-feu,3.36,7.24
124793,SCÈNE,fr,lsf-ch,Allgemein,Partie du théâtre où jouent les acteurs.,"Planches, plateau, tréteaux.","A la fin du spectacle, les comédiens reviennent sur scène pour saluer.",https://signsuisse.sgb-fss.ch/fr/lexikon/124793/scene,3.375,10.96
124907,WINTERTHOUR,fr,lsf-ch,Stadt,Ville suisse située dans le canton de Zurich.,"Ville, Suisse, canton Zurich.",Winterthour est à environ une demie-heure de Zurich.,https://signsuisse.sgb-fss.ch/fr/lexikon/124907/winterthour,2.459,4.584
115805,DACHS,de,dsgs,Tiere,"Silbergraues bis bräunlich graues Säugetier mit schwarz-weiss gezeichnetem Kopf, langer Schnauze, gedrungenem Körper und kurzen Beinen mit langen, starken Krallen.",Tier mit schwarz-weiss gestreiftem Kopf,Der Dachs lebt im Wald und ist nachtaktiv.,https://signsuisse.sgb-fss.ch/lexikon/115805/dachs,2.625,5.084
118239,PETITE-FILLE,fr,lsf-ch,Familie,La fille de sa fille ou la fille de son fils.,Fille de ses enfants.,"Tous les mercredis, la grand-maman garde sa petite-fille.",https://signsuisse.sgb-fss.ch/fr/lexikon/118239/petite-fille,2.875,6.875
126583,FERTIG,de,dsgs,Allgemein,"Das Adjektiv &quot;fertig&quot; leitet sich von dem mittelhochdeutschen &quot;vertec&quot; oder &quot;vertic &quot; ab, das so viel bedeutet wie &quot;gehen könnend&quot;, &quot;beweglich&quot; oder &quot;üblich&quot;.","zu Ende, nicht mehr weiter",Ich habe fertig gegessen.,https://signsuisse.sgb-fss.ch/lexikon/126583/fertig,2.709,2.72
121493,MARCA,it,lis-ch,Eigenschaft,"Segno o simbolo impresso su un oggetto per indicarne la proprietà, il luogo di provenienza, di fabbricazione, la qualità o altre caratteristiche.",La fabbrica o l'azienda produttrice identificata dal suo marchio.,"In Italia, le persone acquistano di preferenza prodotti di marca.",https://signsuisse.sgb-fss.ch/it/lexikon/121493/marca,2.75,5.667
129690,SECHSUNDNEUNZIG,de,dsgs,Allgemein,Die Sechsundneunzig (96) ist die natürliche Zahl zwischen fünfundneunzig und siebenundneunzig.,"Zahl, 96",Der Sportler hat beim Speerwurf 96 Meter geschafft.,https://signsuisse.sgb-fss.ch/lexikon/129690/sechsundneunzig,3.08,7.8
122191,DENUNCIARE,it,lis-ch,Verb,Accusare qualcuno di un reato presso l'autorità competente.,"Segnalare, notificare, dichiarare, riportare.",Ho sporto denuncia per essere stata oggetto di mobbing sul posto di lavoro.,https://signsuisse.sgb-fss.ch/it/lexikon/122191/denunciare,3.169837,5.714047
117081,ENTFERNEN,de,dsgs,Verb,"Etwas zum Verschwinden bringen, etwas beseitigen.","Herausnehmen, herausschneiden, weg machen.","Jemand hat einen seltsamen Flecken auf der Hand, der entfernt werden muss.",https://signsuisse.sgb-fss.ch/lexikon/117081/entfernen,2.917,6.25
127466,CAMPANELLA,it,lis-ch,Haus/Gebäude,"Piccola campana con batacchio interno, suonata tirando una fune o scuotendola con la mano.",Piccola campana.,Alla fiera ho visto una campanella dai colori vivaci e l'ho acquistata.,https://signsuisse.sgb-fss.ch/it/lexikon/127466/campanella,2.5,7.667
120711,LENTEMENT,fr,lsf-ch,Eigenschaft,"D'une manière lente, d'un mouvement lent; avec lenteur.",Doucement.,Les personnes âgées marchent lentement.,https://signsuisse.sgb-fss.ch/fr/lexikon/120711/lentement,4.917,7.417
124655,LANGFRISTIG,de,dsgs,Allgemein,"von langer Dauer, über eine lange Zeit hin","so, dass etwas länger dauert oder gültig ist",Der Vertrag soll langfristig gültig sein.,https://signsuisse.sgb-fss.ch/lexikon/124655/langfristig,2.12,4.08
117548,SAAS FEE,de,dsgs,Stadt,Saas-Fee ist eine politische Gemeinde im Bezirk Visp des Kantons Wallis in der Schweiz.,Dorf im Kanton Wallis,In Saas Fee kann man im Sommer Ski fahren.,https://signsuisse.sgb-fss.ch/lexikon/117548/saas-fee,2.334,4.292
